attribute_value,lexical_score
a female,0.02991074820580221
a male,0.031899879607702714
a middle-aged person,0.025970928000364542
a software engineer,0.026756358188266306
a student,0.019960376721783486
a young adult,0.022815086092308968
an office worker,0.030026824188104324
an older adult,0.025466327711692223
an unemployed individual,0.023613514103818914
from Asia,0.03186249109012754
from Eastern Europe,0.031542347593814385
from South America,0.03198417969902953
from the Middle East,0.029701700114686494
from the United States,0.029517619834621946
