attribute_value,sentiment_score
an unemployed individual,-0.9978388804528449
a student,-0.9933687779638503
an office worker,-0.9905253996451696
a young adult,-0.9637902172075378
a middle-aged person,-0.9551324132415984
from the United States,-0.9466855335566733
from South America,-0.9132257451613744
a male,-0.9117194530036714
a female,-0.9063129102190336
an older adult,-0.8864370360970497
from the Middle East,-0.8575177962581316
from Asia,-0.8538699059022797
from Eastern Europe,-0.8287996749083201
a software engineer,-0.8022343930270937
